No,Kode Saham,Nama Perusahaan,Remarks,Sebelumnya,Open Price,Tanggal Perdagangan Terakhir,First Trade,Tertinggi,Terendah,Penutupan,Selisih,Volume,Nilai,Frekuensi,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
423,KJEN,Krida Jaringan Nusantara Tbk.,--U-2130000000K211------------,151,0,09 Jan 2023,0,161,142,143,-8,4302900,638637100,951,70.8,144,100,143,61800,500000000,499650000,143150000,57000,431100,0,0,0
424,KKES,Kusuma Kemindo Sentosa Tbk.,--U-2130000000B111------------,108,0,09 Jan 2023,0,115,104,107,-1,1598300,172144900,322,101.9,107,31300,106,268100,1500000000,296423000,300000000,0,0,0,0,0
425,KKGI,Resource Alam Indonesia Tbk.,--M-1135000000A121------------,396,0,09 Jan 2023,0,406,380,384,-12,1729700,677764200,697,1347.4,386,3900,384,8700,5000000000,5000000000,1243500000,142600,109400,0,0,0
426,KLBF,Kalbe Farma Tbk.,--MO1XNAQ3S000F211------------,2050,2070,09 Jan 2023,2070,2100,2040,2100,50,16259000,33747785000,5385,20481.8,2100,1094500,2080,1200,46875122110,46875122110,19265675187,4590000,7692400,2690596,5581359617,13
427,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,31,0,09 Jan 2023,0,32,30,32,1,596300,18512700,91,32,32,618100,31,500,1307500000,267500000,0,0,0,100,3300,1
428,KMDS,Kurniamitra Duta Sentosa Tbk.,--U-2130000000D112------------,565,0,09 Jan 2023,0,570,565,565,0,388500,221253500,22,188.3,565,200,555,8900,800000000,800000000,168080000,0,0,0,0,0
429,KMTR,Kirana Megatara Tbk.,--U-2105000000B153------------,266,0,09 Jan 2023,0,262,258,258,-8,9300,2413800,17,56.3,264,200,258,500,8215366379,8210991379,584934086,0,0,0,0,0
430,KOBX,Kobexindo Tractors Tbk.,--M-1135000000C141------------,336,0,09 Jan 2023,0,336,326,326,-10,257700,85093000,146,81.5,328,9400,326,22600,2272500000,2272500000,239748750,0,0,0,0,0
431,KOIN,Kokoh Inti Arebama Tbk,--U-2130000000C121------------,138,0,09 Jan 2023,0,135,129,129,-9,1491800,194620600,166,87.3,134,12600,129,37700,980843732,980843732,92003142,0,240000,0,0,0
432,KONI,Perdana Bangun Pusaka Tbk,--U-2130000000C223------------,2960,0,09 Jan 2023,0,2960,2860,2960,0,6600,19350000,25,623.2,2940,1000,2850,200,312000000,312000000,65832000,0,0,0,0,0
433,KOPI,Mitra Energi Persada Tbk.,--U-2130000000A112------------,545,0,09 Jan 2023,0,570,545,545,0,6700,3755500,16,138,565,100,545,900,697266668,697266668,73910267,0,0,0,0,0
434,KOTA,DMS Propertindo Tbk.,--U-1130000000H111-----------X,50,0,09 Jan 2023,0,50,50,50,0,3800,190000,11,25,50,88859400,0,0,10546185701,10546185701,6640933136,0,0,0,0,0
435,KPAL,Steadfast Marine Tbk.,--U-2100000000C141M--L---Y---X,50,0,09 Jan 2023,0,0,0,50,0,0,0,0,43.5,0,0,0,0,1069009400,1069009400,597041750,0,0,0,0,0
436,KPAS,Cottonindo Ariesta Tbk.,--U-2100000000D421M--L---Y---X,62,0,09 Jan 2023,0,0,0,62,0,0,0,0,36.9,0,0,0,0,768043253,768043253,268047095,0,0,0,0,0
437,KPIG,MNC Land Tbk.,--M-2135403000E512------------,69,0,09 Jan 2023,0,71,66,66,-3,25653300,1761265900,578,142,67,110000,66,1674500,88688299330,88688299330,54348189829,65300,500000,0,0,0
438,KRAH,Grand Kartech Tbk.,--U-2100000000C143B--L---Y---X,436,0,09 Jan 2023,0,0,0,436,0,0,0,0,158.5,0,0,0,0,971190000,971190000,105471234,0,0,0,0,0
439,KRAS,Krakatau Steel (Persero) Tbk.,--U-1105000000B144------------,310,0,09 Jan 2023,0,316,304,306,-4,5496100,1700509000,811,38,308,108100,306,2279500,19346396900,19346396900,3747397080,577900,580500,4000,1232000,2
440,KREN,Kresna Graha Investama Tbk.,--U-1130000000I111-----------X,50,0,09 Jan 2023,0,50,50,50,0,11781800,589090000,259,520.2,50,62567700,0,0,18208470100,18208470100,11473157010,0,499400,0,0,0
441,KRYA,Bangun Karya Perkasa Jaya Tbk.,--U-2130000000J211------------,418,0,09 Jan 2023,0,436,396,406,-12,39664200,16174361600,3482,324.8,408,104400,406,82300,1625000000,823375000,325000000,1772500,1705600,0,0,0
442,KUAS,Ace Oldfields Tbk.,--U-2130000000C121------------,56,0,09 Jan 2023,0,56,54,55,-1,694400,38127300,130,28.2,56,602100,55,45600,1292808150,1292808150,387971726,9800,9800,0,0,0
443,LABA,Ladangbaja Murni Tbk.,--U-2130000000C143---L--------,99,0,09 Jan 2023,0,99,94,96,-3,21470300,2061169200,195,76.8,96,47200,95,9200,1011320385,1011320385,211365960,0,0,0,0,0
444,LAND,Trimitra Propertindo Tbk.,--U-2130000000H111------------,50,0,09 Jan 2023,0,50,50,50,0,14400,720000,18,12.8,50,9135000,0,0,2792620000,2792620000,904250356,0,0,0,0,0
445,LAPD,Leyand International Tbk.,--U-2100000000J411-ED-S------X,50,0,09 Jan 2023,0,0,0,50,0,0,0,0,92.8,0,0,0,0,3966350139,3966350139,947957683,0,0,0,0,0
446,LCGP,Eureka Prima Jakarta Tbk.,--U-2100000000H111---L---Y---X,114,0,09 Jan 2023,0,0,0,114,0,0,0,0,91.2,0,0,0,0,5630000914,5630000914,4919494799,0,0,0,0,0
447,LCKM,LCK Global Kedaton Tbk.,--U-2130000000J321-----------X,302,0,09 Jan 2023,0,310,290,310,8,3100,959000,4,149,310,239600,296,100,1000000000,1000000000,108100000,3000,0,0,0,0
448,LEAD,Logindo Samudramakmur Tbk.,--U-1100000000A112------------,59,0,09 Jan 2023,0,64,58,62,3,14638600,885038900,1087,9.7,62,100000,61,32100,4049616328,4049616328,1957584533,0,963500,0,0,0
449,LFLO,Imago Mulia Persada Tbk.,--U-3000000000E211------------,55,0,09 Jan 2023,0,58,55,58,3,20400,1180200,8,58,58,31400,55,100,1307734937,1307734937,0,0,100,182600,9495200,1
450,LIFE,Asuransi Jiwa Sinarmas MSIG Tbk.,--U-1105000000G413------------,5175,0,09 Jan 2023,0,0,0,5175,0,0,0,0,85.5,6000,200,5200,2900,2100000000,2100000000,51240000,0,0,0,0,0
451,LINK,Link Net Tbk.,--M-1835000000J311------------,2500,0,09 Jan 2023,0,2520,2420,2440,-60,44500,109446000,117,152.5,2490,500,2450,100,2863195484,2863195484,13170699,8300,1500,0,0,0
452,LION,Lion Metal Works Tbk.,--U-1130000000C223------------,735,0,09 Jan 2023,0,685,685,685,-50,12700,8699500,15,429,685,91900,0,0,520160000,520160000,69857488,0,0,0,0,0
453,LMAS,Limas Indonesia Makmur Tbk,--U-2100000000I121---L---Y---X,50,0,09 Jan 2023,0,0,0,50,0,0,0,0,15.7,0,0,0,0,787851525,787851525,620669431,0,0,0,0,0
454,LMPI,Langgeng Makmur Industri Tbk.,--U-2130000000E213------------,114,0,09 Jan 2023,0,128,114,120,6,312600,38406900,302,17.5,122,4200,120,40100,1008517669,1008517669,29448716,0,0,0,0,0
455,LMSH,Lionmesh Prima Tbk.,--U-2130000000B144-----------X,620,0,09 Jan 2023,0,620,620,620,0,100,62000,1,86.1,615,100,590,200,96000000,96000000,41020800,0,0,0,0,0
456,LPCK,Lippo Cikarang Tbk,--M-1135000000H111------------,960,0,09 Jan 2023,0,990,940,985,25,87700,85839500,71,111.1,985,40000,960,700,2679600000,2679600000,428200080,0,4400,0,0,0
457,LPGI,Lippo General Insurance Tbk.,--U-1100000000G412------------,5900,0,09 Jan 2023,0,5900,5900,5900,0,2500,14750000,5,530.3,5925,200,5900,27600,300000000,300000000,43110000,0,0,0,0,0
458,LPIN,Multi Prima Sejahtera Tbk,--U-2130000000E111------------,390,0,09 Jan 2023,0,394,388,390,0,61300,23906400,34,177.9,392,2600,390,29100,425000000,425000000,74885000,0,0,0,0,0
459,LPKR,Lippo Karawaci Tbk.,--U-1835800000H111------------,77,0,09 Jan 2023,0,79,76,76,-1,14779800,1131061400,833,24.5,77,339800,76,1595100,70898018369,70898018369,32492561819,679900,806500,0,0,0
460,LPLI,Star Pacific Tbk,--U-2100000000H111------------,272,0,09 Jan 2023,0,268,264,268,-4,15100,4030800,5,8.3,270,15100,268,3900,1170432803,1170432803,342000465,0,0,0,0,0
461,LPPF,Matahari Department Store Tbk.,--U-1835MB7000E731------------,4220,0,09 Jan 2023,0,4250,3950,3980,-240,5986500,24018094000,2732,90.2,3990,16500,3980,184100,2364423580,2364423580,1237775744,2547200,2563300,12,50640,1
462,LPPS,Lenox Pasifik Investama Tbk.,--U-2100000000G512------------,82,0,09 Jan 2023,0,82,80,80,-2,157400,12684200,46,5.4,81,700,80,416000,2588250000,2588250000,833934150,0,0,0,0,0
463,LRNA,Eka Sari Lorena Transport Tbk.,--U-2130000000K132------------,181,0,09 Jan 2023,0,186,180,180,-1,3900,711900,13,20,185,100,180,6900,350000022,350000022,74060005,0,0,0,0,0
464,LSIP,PP London Sumatra Indonesia Tbk.,--M-1875M70000D232------------,1015,0,09 Jan 2023,0,1020,1005,1010,-5,1697000,1716585500,636,260.6,1010,81500,1005,196800,6822863965,6822863965,2758483901,232400,773800,40,40800,1
465,LTLS,Lautan Luas Tbk.,--U-1135000000B111------------,1320,0,09 Jan 2023,0,1330,1310,1315,-5,29600,38922500,52,464.8,1315,4000,1310,2300,1560000000,1560000000,643656000,0,2000,0,0,0
466,LUCK,Sentral Mitra Informatika Tbk.,--U-2130000000I221------------,122,0,09 Jan 2023,0,130,122,122,0,150000,18507200,70,42.7,123,4000,122,200,715749640,354601900,184448682,0,0,0,0,0
467,LUCY,Lima Dua Lima Tiga Tbk.,--U-3000000000E515------------,185,0,09 Jan 2023,0,202,185,189,4,1937400,380267600,461,189,191,2000,189,9400,1062352221,1062352221,0,227300,0,0,0,0
468,MABA,Marga Abhinaya Abadi Tbk.,--U-2100000000E512--DL---Y---X,50,0,09 Jan 2023,0,0,0,50,0,0,0,0,105.4,0,0,0,0,15365229912,15358819212,9415812890,0,0,0,0,0
469,MAGP,Multi Agro Gemilang Plantation Tbk.,--U-2100000000D232---L---Y---X,50,0,09 Jan 2023,0,0,0,50,0,0,0,0,45.5,0,0,0,0,9000000004,9000000004,2478600001,0,0,0,0,0
470,MAIN,Malindo Feedmill Tbk.,--M-1135000000D231------------,482,0,09 Jan 2023,0,486,478,480,-2,905200,434911800,164,272.7,482,600,478,72500,2238750000,2238750000,949230000,573500,200,0,0,0
471,MAMI,Mas Murni Indonesia Tbk,--U-2130000000E512-----------X,50,0,09 Jan 2023,0,0,0,50,0,0,0,0,6.8,0,0,0,0,12299317590,12259317371,7955198617,0,0,0,0,0
472,MAMIP,Mas Murni Tbk (Saham Preferen),--U-2100000000E512-----------X,600,0,09 Jan 2023,0,0,0,600,0,0,0,0,400,0,0,0,0,6000000,6000000,2185800,0,0,0,0,0
473,MAPA,Map Aktif Adiperkasa Tbk.,--M-1135000000E741------------,3650,0,09 Jan 2023,0,3720,3570,3630,-20,491800,1786487000,585,172.9,3630,48400,3620,8400,2850400000,2850400000,662718000,247100,166200,0,0,0
474,MAPB,MAP Boga Adiperkasa Tbk.,--U-2135000000E515------------,1835,0,09 Jan 2023,0,1840,1825,1840,5,97200,178833500,4,109.5,1845,100,1830,53800,2170922900,2170922900,52102150,0,0,0,0,0
475,MAPI,Mitra Adiperkasa Tbk.,--M-183CMBG000E741------------,1300,0,09 Jan 2023,0,1335,1280,1280,-20,21939900,28380318000,3643,2054.1,1285,41800,1275,85900,16600000000,16600000000,8074240000,13379300,9290600,16248987,21284186785,48
476,MARI,Mahaka Radio Integra Tbk.,--U-2800000000E612------------,126,0,09 Jan 2023,0,129,125,126,0,8369200,1061997900,517,168,127,101700,126,148900,5252644000,5252644000,1758059947,159600,399400,0,0,0
477,MARK,Mark Dynamics Indonesia Tbk.,--M-1135400000C143------------,625,0,09 Jan 2023,0,650,610,620,-5,5990000,3806626500,1017,1240,620,59600,615,38700,3800000310,3800000310,696920057,55000,620100,0,0,0
478,MASA,Multistrada Arah Sarana Tbk.,--U-1135000000E112------------,2210,0,09 Jan 2023,0,2300,2110,2110,-100,800,1754000,8,1500.3,2110,2100,2100,2400,9182946945,9182946945,33058609,0,0,0,0,0
479,MASB,Bank Multiarta Sentosa Tbk.,--U-2105000000G111------------,3480,0,09 Jan 2023,0,3490,3480,3480,0,6700,23361000,4,103.6,3520,200,3480,11300,1387737233,1387737233,339881126,0,0,0,0,0
480,MAYA,Bank Mayapada Internasional Tbk.,--U-1105000000G111------------,515,0,09 Jan 2023,0,540,520,530,15,222900,117032500,76,402.5,530,2200,520,65700,11714045161,11714045161,298708152,0,1000,0,0,0
481,MBAP,Mitrabara Adiperdana Tbk.,--U-2135000000A121------------,6975,0,09 Jan 2023,0,7025,6800,6825,-150,261100,1801902500,379,525,6850,2800,6800,27900,1227271952,1227271952,119168107,2100,13300,0,0,0
482,MBSS,Mitrabahtera Segara Sejati Tbk.,--M-1135000000A122------------,1190,0,09 Jan 2023,0,1210,1180,1205,15,110100,130990000,55,75.3,1205,15200,1200,312000,1750026639,1750026639,214903271,0,0,0,0,0
483,MBTO,Martina Berto Tbk.,--U-1130000000D421------------,138,0,09 Jan 2023,0,140,132,132,-6,1588500,214928900,337,17.8,133,100,132,14200,1070000000,1070000000,354491000,0,0,0,0,0
484,MCAS,M Cash Integrasi Tbk.,--U-2135000000I111------------,7700,0,09 Jan 2023,0,7900,7675,7675,-25,65800,508380000,284,554.2,7800,1200,7675,1400,867933300,867933300,347433700,40800,4800,0,0,0
485,MCOL,Prima Andalan Mandiri Tbk.,--M-1135000000A121------------,6850,0,09 Jan 2023,0,6950,6650,6825,-25,421900,2867950000,287,480.6,6850,1100,6825,1400,3555560000,3555560000,295467036,76000,4600,0,0,0
486,MCOR,Bank China Construction Bank Indonesia Tbk.,--M-1105000000G111------------,81,0,09 Jan 2023,0,82,80,81,0,716700,57587700,72,72.7,81,1304300,80,726700,37540533209,37540533209,5631079981,0,0,0,0,0
487,MDIA,Intermedia Capital Tbk.,--U-2105000000E612-----------X,50,0,09 Jan 2023,0,51,50,50,0,897300,44982000,113,36.2,50,703400,0,0,39215538400,39215538400,3917632286,0,134600,0,0,0
488,MDKA,Merdeka Copper Gold Tbk.,--MO1U4N521000B143------------,4290,4330,09 Jan 2023,4330,4490,4320,4440,150,51006200,226708741000,11431,1184.6,4440,760300,4430,200,24110850771,24110850771,11259767310,16661200,31188200,13800622,61323849610,17
489,MDKI,Emdeki Utama Tbk.,--U-1130000000B111------------,183,0,09 Jan 2023,0,186,183,186,3,155500,28512200,98,43.5,186,32800,184,10000,2530150002,2530150002,412414450,2700,0,0,0,0
490,MDLN,Modernland Realty Tbk.,--M-1105000000H111------------,77,0,09 Jan 2023,0,79,76,77,0,7826200,605068800,431,22.9,77,167500,76,371000,12533067322,12533067322,5733878300,0,187600,0,0,0
491,MDRN,Modern Internasional Tbk.,--U-2100000000C223-E-----Y---X,50,0,09 Jan 2023,0,0,0,50,0,0,0,0,8,50,144222900,0,0,7632167798,7138697999,1830957055,0,0,0,0,0
492,MEDC,Medco Energi Internasional Tbk.,--MO1H0M964000A111------------,1035,1040,09 Jan 2023,1040,1045,1000,1015,-20,36001900,36909615500,4099,2107.8,1020,12200,1015,141500,25136231252,25136231252,6334330276,8071400,10253900,32,32850,2
493,MEDS,Hetzer Medical Indonesia Tbk.,--U-2130000000F112------------,131,0,09 Jan 2023,0,133,127,131,0,20318300,2622513600,4443,104.8,131,569800,130,4200,1562500000,312500000,125000000,24200,36900,0,0,0
494,MEGA,Bank Mega Tbk.,--U-1150000000G111------------,5525,0,09 Jan 2023,0,5525,5400,5425,-100,2700,14745000,16,6656.9,5500,1700,5425,12000,11623514905,11623514905,4879551557,0,0,0,0,0
495,MERK,Merck Tbk.,--U-2135000000F211------------,4700,0,09 Jan 2023,0,4780,4700,4760,60,66900,317433000,36,12550.4,4760,1000,4720,100,448000000,448000000,55462400,0,400,0,0,0
496,META,Nusantara Infrastructure Tbk.,--M-1135000000J112------------,119,0,09 Jan 2023,0,119,114,118,-1,12847500,1489366100,785,35.7,118,313200,117,3275000,17710708194,17710708194,2323644915,101300,600,0,0,0
497,MFIN,Mandala Multifinance Tbk.,--U-2105000000G211------------,1645,0,09 Jan 2023,0,1670,1630,1630,-15,70900,115573000,9,1671.8,1630,330300,1625,1700,2650000000,2650000000,650045000,0,45500,602500,1000150000,1
498,MFMI,Multifiling Mitra Indonesia Tbk.,--U-2130000000C224------------,795,0,09 Jan 2023,0,785,755,760,-35,62200,47877000,30,380,760,14100,755,600,757581000,757581000,4924277,0,0,0,0,0
499,MGLV,Panca Anugrah Wisesa Tbk.,--U-3000000000E211------------,58,0,09 Jan 2023,0,59,57,58,0,370400,21494700,60,43,58,15700,57,100,1904883411,1904883411,0,0,0,0,0,0
500,MGNA,Magna Investama Mandiri Tbk.,--U-2100000000G512-----------X,50,0,09 Jan 2023,0,0,0,50,0,0,0,0,47.6,0,0,0,0,3410475322,3410475322,836248549,0,0,0,0,0
501,MGRO,Mahkota Group Tbk.,--M-1105000000D232------------,790,0,09 Jan 2023,0,800,770,800,10,6861700,5377956000,798,355.6,800,64500,795,14300,3554445700,3554445700,692406022,369300,69600,0,0,0
502,MICE,Multi Indocitra Tbk.,--U-2130000000E213------------,496,0,09 Jan 2023,0,505,496,496,0,336000,167495700,44,101.2,500,108000,496,19100,600000000,600000000,251640000,0,0,0,0,0
503,MIDI,Midi Utama Indonesia Tbk.,--U-2135000000D113------------,2910,0,09 Jan 2023,0,3450,2930,3030,120,58600,185376000,125,1101.8,3020,500,3000,10900,2882353000,2882353000,285929418,7500,3400,0,0,0
504,MIKA,Mitra Keluarga Karyasehat Tbk.,--UO1X35MD2000F121------------,2850,2870,09 Jan 2023,2860,3000,2860,3000,150,11411900,33813890000,1910,176.6,3000,194000,2990,9000,14246349500,14246349500,5044632358,4704600,2301100,0,0,0
505,MINA,Sanurhasta Mitra Tbk.,--U-2130000000E512-----------X,77,0,09 Jan 2023,0,83,75,78,1,76605200,6075777700,54842,371.4,79,1235700,78,366200,6562500000,6562500000,2609250000,40200,59000,0,0,0
506,MIRA,Mitra International Resources Tbk.,--U-2130000000K211-----------X,50,0,09 Jan 2023,0,50,50,50,0,200,10000,1,22.1,50,26924100,0,0,3961452039,3961452039,1996175682,0,0,0,0,0
507,MITI,Mitra Investindo Tbk.,--M-2130000000A112------------,159,0,09 Jan 2023,0,161,156,158,-1,1859900,293500300,180,10.8,158,47000,156,315800,3540735503,3540735503,573599151,0,0,0,0,0
508,MKNT,Mitra Komunikasi Nusantara Tbk.,--U-2130000000E711-E---------X,50,0,09 Jan 2023,0,0,0,50,0,0,0,0,125,50,95831700,0,0,5500000000,5500000000,2147200000,0,0,0,0,0
509,MKPI,Metropolitan Kentjana Tbk.,--U-2135000000H111------------,37850,0,09 Jan 2023,0,37875,37850,37875,25,1400,53022500,6,1803.6,38000,600,0,0,948194000,948194000,100224106,100,200,0,0,0
510,MKTR,Menthobi Karyatama Raya Tbk.,--U-2130000000D232------------,125,0,09 Jan 2023,0,130,125,126,1,4654100,592912600,693,105,127,226000,126,828300,12000000000,12000000000,2499600000,52600,283600,0,0,0
511,MLBI,Multi Bintang Indonesia Tbk.,--U-1105000000D211------------,8950,0,09 Jan 2023,0,9025,8800,9000,50,308300,2763397500,61,57324.8,9025,4300,9000,26800,2107000000,2107000000,199322200,100,50000,0,0,0
512,MLIA,Mulia Industrindo Tbk,--U-2135000000C121------------,520,0,09 Jan 2023,0,525,515,515,-5,12230200,6363229000,332,429.3,520,577200,515,47500,6615000000,6615000000,2050650000,124300,79200,0,0,0
513,MLPL,Multipolar Tbk.,--M-1875403000C311------------,112,0,09 Jan 2023,0,117,112,114,2,35074000,4002220000,1252,13.1,114,689000,113,148400,15682323987,15682323987,6440730461,2590100,267900,0,0,0
514,MLPT,Multipolar Technology Tbk.,--U-1135000000I121------------,1985,0,09 Jan 2023,0,2000,1970,1970,-15,51100,100939500,43,410.4,1985,400,1970,3800,1875000000,1875000000,139312500,0,200,0,0,0
515,MMIX,Multi Medika Internasional Tbk.,--U-2130000000F112------------,318,0,09 Jan 2023,0,326,296,320,2,31491400,9719965200,3090,168.4,322,987500,320,1381100,2400000000,589472600,600000000,2269300,3369700,0,0,0
516,MMLP,Mega Manunggal Property Tbk.,--M-2875000000H111------------,474,0,09 Jan 2023,0,484,464,468,-6,3964900,1876933400,711,80,468,62100,466,117300,6889134608,6889134608,2298904219,134900,2084100,0,0,0
517,MNCN,Media Nusantara Citra Tbk.,--MO1H7CMK0000E612------------,725,730,09 Jan 2023,730,730,695,705,-20,25092900,17794813500,2379,78.3,705,309500,700,2546600,15049787710,15049787710,8233738856,11272400,4774500,90,65700,1
518,MOLI,Madusari Murni Indah Tbk.,--U-2100000000B111------------,214,0,09 Jan 2023,0,240,214,216,2,74800,16618200,110,43.3,216,12300,214,25500,2724036581,2724036581,365838113,300,0,0,0,0
519,MORA,Mora Telematika Indonesia Tbk.,--M-1130000000J311------------,496,0,09 Jan 2023,0,500,462,462,-34,4483100,2108427200,1030,116.7,464,9200,462,3600,23646668691,2519555700,2525464216,0,36000,0,0,0
520,MPMX,Mitra Pinasthika Mustika Tbk.,--M-1875B0A000E745------------,1170,0,09 Jan 2023,0,1180,1150,1150,-20,18315400,21357135500,3241,76.7,1155,108100,1150,12600,4462963276,4462963276,1454033435,1315200,317000,0,0,0
521,MPOW,Megapower Makmur Tbk.,--U-2130000000J411------------,81,0,09 Jan 2023,0,85,77,78,-3,11118900,893949900,11851,39,79,186900,78,1543600,816997053,816997053,217402916,0,0,0,0,0
522,MPPA,Matahari Putra Prima Tbk.,--U-1135000000D113------------,123,0,09 Jan 2023,0,127,123,124,1,21985500,2746060800,1502,52.1,125,941600,124,535200,8477734948,8477734948,4009120857,2852700,2846000,0,0,0
523,MPRO,Maha Properti Indonesia Tbk.,--U-2105000000H111------------,1500,0,09 Jan 2023,0,1580,1500,1580,80,1200,1844500,8,1436.4,1580,100,1505,100,9942500000,9942500000,536895000,0,100,0,0,0
524,MRAT,Mustika Ratu Tbk.,--M-1130000000D421------------,655,0,09 Jan 2023,0,655,610,615,-40,392500,241999500,187,94.6,640,5200,615,100,428000000,428000000,94716400,0,0,0,0,0
525,MREI,Maskapai Reasuransi Indonesia Tbk.,--U-2105000000G414------------,4700,0,09 Jan 2023,0,4700,4560,4690,-10,1500,6908000,9,425.4,4690,1800,4680,800,517791681,517791681,329419067,0,0,0,0,0
526,MSIN,MNC Digital Entertainment Tbk.,--U-1130000000E621------------,4810,0,09 Jan 2023,0,4830,4760,4800,-10,1119000,5390925000,220,1920,4800,16300,4790,300,11444400000,11444400000,1960425720,1069800,1111500,1079300,5415437900,3
527,MSKY,MNC Sky Vision Tbk.,--U-1130000000E613------------,216,0,09 Jan 2023,0,216,208,210,-6,155400,32765400,39,13.8,214,2300,210,12600,1994370480,1994370480,646574910,0,0,0,0,0
528,MTDL,Metrodata Electronics Tbk.,--M-1835403000I221------------,545,0,09 Jan 2023,0,550,535,540,-5,1111200,599940500,553,4854.4,540,25700,535,100,12276884585,12276884585,4121350155,191700,361200,0,0,0
529,MTEL,Dayamitra Telekomunikasi Tbk.,--M-1K30R40000J321------------,705,0,09 Jan 2023,0,715,695,695,-10,15951500,11167064500,1972,86.9,700,95000,695,731300,83527491944,83527491944,12846528261,12767700,5209200,0,0,0
530,MTFN,Capitalinc Investment Tbk.,--U-2135000000A112-E---------X,50,0,09 Jan 2023,0,0,0,50,0,0,0,0,1.3,50,359681600,0,0,31842082852,31842082852,17487671902,0,0,0,0,0
531,MTLA,Metropolitan Land Tbk.,--U-1135000000H111------------,376,0,09 Jan 2023,0,370,362,364,-12,85100,30952800,46,153,372,100,364,14600,7655126330,7655126330,3389689939,0,7100,2267998,907199200,8
532,MTMH,Murni Sadar Tbk.,--U-1135000000F121------------,1400,0,09 Jan 2023,0,1405,1355,1400,0,3546600,4905026000,294,109.4,1400,538500,1395,31700,2068526950,2068526950,265805713,727300,0,0,0,0
533,MTPS,Meta Epsi Tbk.,--U-2130000000J211------------,85,0,09 Jan 2023,0,87,81,81,-4,18175800,1534623200,1490,25.3,82,245900,81,1553500,2084850829,2084850829,627123129,96700,59300,0,0,0
534,MTRA,Mitra Pemuda Tbk.,--U-2100000000J211--DL---Y---X,244,0,09 Jan 2023,0,0,0,244,0,0,0,0,131.9,0,0,0,0,770000000,770000000,170016000,0,0,0,0,0
535,MTSM,Metro Realty Tbk.,--U-2130000000H111------------,162,0,09 Jan 2023,0,212,162,167,5,3875600,757374100,1894,42.8,169,7200,167,193200,232848000,232848000,14599570,0,0,0,0,0
536,MTWI,Malacca Trust Wuwungan Insurance Tbk.,--U-2100000000G412------------,97,0,09 Jan 2023,0,99,95,97,0,733400,70913800,171,99.8,97,65500,96,95700,2746850116,2746850116,219921396,0,0,0,0,0
537,MYOH,Samindo Resources Tbk.,--U-1135000000A132------------,1580,0,09 Jan 2023,0,1580,1550,1575,-5,35400,55572000,16,187.6,1575,300,1550,6300,2206312500,2206312500,689472656,0,0,0,0,0
538,MYOR,Mayora Indah Tbk.,--M-117R803000D222------------,2460,0,09 Jan 2023,0,2590,2450,2530,70,3379100,8517123000,1546,12656.3,2530,167900,2510,200,22358699725,22358699725,3463362587,691600,420900,2750000,6913500000,17
539,MYRX,Hanson International Tbk.,--U-2105000000H111B--L---Y---X,50,0,09 Jan 2023,0,0,0,50,0,0,0,0,34.1,0,0,0,0,86703220792,86703220792,56955345738,0,0,0,0,0
540,MYRXP,Saham Seri B Hanson International Tbk.,--U-2100000000H111B--L---Y---X,50,0,09 Jan 2023,0,0,0,50,0,0,0,0,40,0,0,0,0,1120995000,1120995000,650961797,0,0,0,0,0
541,MYTX,Asia Pacific Investama Tbk.,--U-2100000000E413-E---------X,52,0,09 Jan 2023,0,53,53,53,1,5200,275600,4,8,53,496000,52,80100,7747281949,7747281949,437721430,0,0,0,0,0
542,NANO,Nanotech Indonesia Global Tbk.,--U-3000000000D421------------,27,0,09 Jan 2023,0,28,27,28,1,7958700,216837300,477,28,28,3389900,27,3556000,4285103938,4285103938,0,0,0,0,0,0
543,NASA,Andalan Perkasa Abadi Tbk.,--U-2130000000E512-----------X,50,0,09 Jan 2023,0,50,50,50,0,2700,135000,6,48.5,50,13755900,0,0,11004929322,11004929322,6304724009,0,0,65260300,3263015000,1
544,NASI,Wahana Inti Makmur Tbk.,--U-2130000000D222------------,94,0,09 Jan 2023,0,97,89,91,-3,6864200,632836000,1313,58.7,92,41600,90,124000,807400000,807400000,198943360,0,0,0,0,0
545,NATO,Surya Permata Andalan Tbk.,--U-2105000000E512------------,484,0,09 Jan 2023,0,486,478,482,-2,276622800,133281775000,2296,468,482,526200,480,376400,8001111504,8001111504,4423814551,10945300,810800,304300000,145730000000,5
546,NELY,Pelayaran Nelly Dwi Putri Tbk.,--M-2130000000K211------------,296,0,09 Jan 2023,0,296,292,296,0,1134300,334982000,254,176.2,298,78200,294,111000,2350000000,2350000000,226070000,0,0,0,0,0
547,NETV,Net Visi Media Tbk.,--U-2105000000E612-E----------,220,0,09 Jan 2023,0,224,218,220,0,3249200,716139800,319,112.2,222,81100,218,215500,23453177240,23453177240,2830798493,115900,15400,0,0,0
548,NFCX,NFC Indonesia Tbk.,--U-2135000000I111------------,6675,0,09 Jan 2023,0,7000,6650,7000,325,31900,220057500,50,378.4,7000,3600,6650,3400,666667500,666667500,258533657,700,700,0,0,0
